Time = 0.00042	RadiusMinRho = 0.00107345	Min(rho) = 0.22344
Time = 0.000425	RadiusMinRho = 0.0010869	Min(rho) = 0.219422
Time = 0.00043	RadiusMinRho = 0.00110028	Min(rho) = 0.215586
Time = 0.000435	RadiusMinRho = 0.00111405	Min(rho) = 0.211708
Time = 0.00044	RadiusMinRho = 0.00112767	Min(rho) = 0.208029
Time = 0.000445	RadiusMinRho = 0.00114168	Min(rho) = 0.204289
Time = 0.00045	RadiusMinRho = 0.00115555	Min(rho) = 0.200748
Time = 0.000455	RadiusMinRho = 0.00116981	Min(rho) = 0.197187
Time = 0.00046	RadiusMinRho = 0.00118399	Min(rho) = 0.193738
Time = 0.000465	RadiusMinRho = 0.00119862	Min(rho) = 0.190268
Time = 0.00047	RadiusMinRho = 0.00121306	Min(rho) = 0.186979
Time = 0.000475	RadiusMinRho = 0.00122788	Min(rho) = 0.183682
Time = 0.00048	RadiusMinRho = 0.00124245	Min(rho) = 0.180589
Time = 0.000485	RadiusMinRho = 0.0012573	Min(rho) = 0.177523
Time = 0.00049	RadiusMinRho = 0.00127166	Min(rho) = 0.174715
Time = 0.000495	RadiusMinRho = 0.00128595	Min(rho) = 0.172077
Time = 0.0005	RadiusMinRho = 0.00129882	Min(rho) = 0.16998
Time = 0.000505	RadiusMinRho = 0.00131003	Min(rho) = 0.168561
Time = 0.00051	RadiusMinRho = 0.00131861	Min(rho) = 0.168028
Time = 0.000515	RadiusMinRho = 0.00132585	Min(rho) = 0.16798
Time = 0.00052	RadiusMinRho = 0.00133269	Min(rho) = 0.168027
Time = 0.000525	RadiusMinRho = 0.0013397	Min(rho) = 0.168007
Time = 0.00053	RadiusMinRho = 0.00134634	Min(rho) = 0.168027
Time = 0.000535	RadiusMinRho = 0.00135307	Min(rho) = 0.168022
Time = 0.00054	RadiusMinRho = 0.00135937	Min(rho) = 0.168034
Time = 0.000545	RadiusMinRho = 0.00136591	Min(rho) = 0.168009
Time = 0.00055	RadiusMinRho = 0.00137211	Min(rho) = 0.16802
Time = 0.000555	RadiusMinRho = 0.00137858	Min(rho) = 0.168021
Time = 0.00056	RadiusMinRho = 0.00138484	Min(rho) = 0.168038
Time = 0.000565	RadiusMinRho = 0.00139125	Min(rho) = 0.168047
Time = 0.00057	RadiusMinRho = 0.00139751	Min(rho) = 0.168054
Time = 0.000575	RadiusMinRho = 0.00140389	Min(rho) = 0.168033
Time = 0.00058	RadiusMinRho = 0.00141019	Min(rho) = 0.168054
Time = 0.000585	RadiusMinRho = 0.0014165	Min(rho) = 0.168049
Time = 0.00059	RadiusMinRho = 0.00142274	Min(rho) = 0.168043
Time = 0.000595	RadiusMinRho = 0.00142906	Min(rho) = 0.168051
Time = 0.0006	RadiusMinRho = 0.00143538	Min(rho) = 0.168056
Time = 0.000605	RadiusMinRho = 0.0014418	Min(rho) = 0.16804
Time = 0.00061	RadiusMinRho = 0.00144816	Min(rho) = 0.168021
Time = 0.000615	RadiusMinRho = 0.00145452	Min(rho) = 0.168039
Time = 0.00062	RadiusMinRho = 0.0014608	Min(rho) = 0.168031
Time = 0.000625	RadiusMinRho = 0.00146708	Min(rho) = 0.16805
Time = 0.00063	RadiusMinRho = 0.00147334	Min(rho) = 0.168076
Time = 0.000635	RadiusMinRho = 0.00147962	Min(rho) = 0.168076
Time = 0.00064	RadiusMinRho = 0.00148607	Min(rho) = 0.168052
Time = 0.000645	RadiusMinRho = 0.00149248	Min(rho) = 0.168045
Time = 0.00065	RadiusMinRho = 0.00149886	Min(rho) = 0.168068
Time = 0.000655	RadiusMinRho = 0.00150514	Min(rho) = 0.168075
Time = 0.00066	RadiusMinRho = 0.00151151	Min(rho) = 0.168069
Time = 0.000665	RadiusMinRho = 0.00151792	Min(rho) = 0.168058
Time = 0.00067	RadiusMinRho = 0.00152432	Min(rho) = 0.168048
Time = 0.000675	RadiusMinRho = 0.00153072	Min(rho) = 0.168051
Time = 0.00068	RadiusMinRho = 0.00153706	Min(rho) = 0.168057
Time = 0.000685	RadiusMinRho = 0.00154348	Min(rho) = 0.168052
Time = 0.00069	RadiusMinRho = 0.00154986	Min(rho) = 0.168061
Time = 0.000695	RadiusMinRho = 0.00155632	Min(rho) = 0.168058
Time = 0.0007	RadiusMinRho = 0.00156273	Min(rho) = 0.168061
Time = 0.000705	RadiusMinRho = 0.00156922	Min(rho) = 0.168054
Time = 0.00071	RadiusMinRho = 0.00157566	Min(rho) = 0.168057
Time = 0.000715	RadiusMinRho = 0.00158216	Min(rho) = 0.168052
Time = 0.00072	RadiusMinRho = 0.00158863	Min(rho) = 0.168059
Time = 0.000725	RadiusMinRho = 0.00159517	Min(rho) = 0.168062
Time = 0.00073	RadiusMinRho = 0.00160166	Min(rho) = 0.168064
Time = 0.000735	RadiusMinRho = 0.00160821	Min(rho) = 0.16806
Time = 0.00074	RadiusMinRho = 0.00161471	Min(rho) = 0.168071
Time = 0.000745	RadiusMinRho = 0.00162126	Min(rho) = 0.168071
Time = 0.00075	RadiusMinRho = 0.00162783	Min(rho) = 0.168069
Time = 0.000755	RadiusMinRho = 0.00163445	Min(rho) = 0.168063
Time = 0.00076	RadiusMinRho = 0.00164098	Min(rho) = 0.168075
Time = 0.000765	RadiusMinRho = 0.00164757	Min(rho) = 0.168087
Time = 0.00077	RadiusMinRho = 0.00165416	Min(rho) = 0.168094
Time = 0.000775	RadiusMinRho = 0.00166086	Min(rho) = 0.168087
Time = 0.00078	RadiusMinRho = 0.00166753	Min(rho) = 0.168076
Time = 0.000785	RadiusMinRho = 0.00167428	Min(rho) = 0.16806
Time = 0.00079	RadiusMinRho = 0.00168099	Min(rho) = 0.168054
Time = 0.000795	RadiusMinRho = 0.00168773	Min(rho) = 0.16806
Time = 0.0008	RadiusMinRho = 0.00169441	Min(rho) = 0.168069
Time = 0.000805	RadiusMinRho = 0.0017012	Min(rho) = 0.168076
Time = 0.00081	RadiusMinRho = 0.00170793	Min(rho) = 0.168083
Time = 0.000815	RadiusMinRho = 0.00171472	Min(rho) = 0.168086
Time = 0.00082	RadiusMinRho = 0.00172148	Min(rho) = 0.168093
Time = 0.000825	RadiusMinRho = 0.00172836	Min(rho) = 0.168085
Time = 0.00083	RadiusMinRho = 0.00173521	Min(rho) = 0.168076
Time = 0.000835	RadiusMinRho = 0.00174213	Min(rho) = 0.168066
Time = 0.00084	RadiusMinRho = 0.00174895	Min(rho) = 0.168073
Time = 0.000845	RadiusMinRho = 0.00175586	Min(rho) = 0.168075
Time = 0.00085	RadiusMinRho = 0.00176275	Min(rho) = 0.16808
Time = 0.000855	RadiusMinRho = 0.00176961	Min(rho) = 0.168104
Time = 0.00086	RadiusMinRho = 0.00177646	Min(rho) = 0.168113
Time = 0.000865	RadiusMinRho = 0.00178348	Min(rho) = 0.168101
Time = 0.00087	RadiusMinRho = 0.00179048	Min(rho) = 0.168085
Time = 0.000875	RadiusMinRho = 0.00179748	Min(rho) = 0.168088
Time = 0.00088	RadiusMinRho = 0.00180445	Min(rho) = 0.168086
Time = 0.000885	RadiusMinRho = 0.00181147	Min(rho) = 0.168084
Time = 0.00089	RadiusMinRho = 0.00181844	Min(rho) = 0.168092
Time = 0.000895	RadiusMinRho = 0.00182546	Min(rho) = 0.168098
Time = 0.0009	RadiusMinRho = 0.00183249	Min(rho) = 0.168092
Time = 0.000905	RadiusMinRho = 0.00183956	Min(rho) = 0.168089
Time = 0.00091	RadiusMinRho = 0.00184658	Min(rho) = 0.168096
Time = 0.000915	RadiusMinRho = 0.00185363	Min(rho) = 0.168101
Time = 0.00092	RadiusMinRho = 0.00186068	Min(rho) = 0.168106
Time = 0.000925	RadiusMinRho = 0.00186779	Min(rho) = 0.168109
Time = 0.00093	RadiusMinRho = 0.00187488	Min(rho) = 0.168111
Time = 0.000935	RadiusMinRho = 0.00188205	Min(rho) = 0.168109
Time = 0.00094	RadiusMinRho = 0.00188922	Min(rho) = 0.168099
Time = 0.000945	RadiusMinRho = 0.00189645	Min(rho) = 0.168097
Time = 0.00095	RadiusMinRho = 0.00190365	Min(rho) = 0.168114
Time = 0.000955	RadiusMinRho = 0.0019109	Min(rho) = 0.168135
Time = 0.00096	RadiusMinRho = 0.00191823	Min(rho) = 0.168136
Time = 0.000965	RadiusMinRho = 0.00192567	Min(rho) = 0.168127
Time = 0.00097	RadiusMinRho = 0.00193315	Min(rho) = 0.168122
Time = 0.000975	RadiusMinRho = 0.00194071	Min(rho) = 0.168124
Time = 0.00098	RadiusMinRho = 0.00194829	Min(rho) = 0.168128
Time = 0.000985	RadiusMinRho = 0.00195595	Min(rho) = 0.16813
Time = 0.00099	RadiusMinRho = 0.00196367	Min(rho) = 0.168126
Time = 0.000995	RadiusMinRho = 0.00197144	Min(rho) = 0.168129
Time = 0.001	RadiusMinRho = 0.00197926	Min(rho) = 0.168127
Time = 0.001005	RadiusMinRho = 0.00198716	Min(rho) = 0.16813
Time = 0.00101	RadiusMinRho = 0.00199505	Min(rho) = 0.168141
Time = 0.001015	RadiusMinRho = 0.00200302	Min(rho) = 0.168149
Time = 0.00102	RadiusMinRho = 0.00201106	Min(rho) = 0.168158
Time = 0.001025	RadiusMinRho = 0.00201915	Min(rho) = 0.168164
Time = 0.00103	RadiusMinRho = 0.00202729	Min(rho) = 0.168163
Time = 0.001035	RadiusMinRho = 0.00203553	Min(rho) = 0.16816
Time = 0.00104	RadiusMinRho = 0.0020438	Min(rho) = 0.16817
Time = 0.001045	RadiusMinRho = 0.00205207	Min(rho) = 0.168181
Time = 0.00105	RadiusMinRho = 0.00206045	Min(rho) = 0.168189
Time = 0.001055	RadiusMinRho = 0.00206888	Min(rho) = 0.168181
Time = 0.00106	RadiusMinRho = 0.00207747	Min(rho) = 0.16817
Time = 0.001065	RadiusMinRho = 0.00208609	Min(rho) = 0.168166
Time = 0.00107	RadiusMinRho = 0.00209478	Min(rho) = 0.168166
Time = 0.001075	RadiusMinRho = 0.00210342	Min(rho) = 0.168181
Time = 0.00108	RadiusMinRho = 0.00211211	Min(rho) = 0.168197
Time = 0.001085	RadiusMinRho = 0.00212095	Min(rho) = 0.168203
Time = 0.00109	RadiusMinRho = 0.0021299	Min(rho) = 0.168204
Time = 0.001095	RadiusMinRho = 0.00213881	Min(rho) = 0.168206
Time = 0.0011	RadiusMinRho = 0.00214791	Min(rho) = 0.168199
Time = 0.001105	RadiusMinRho = 0.00215704	Min(rho) = 0.168193
Time = 0.00111	RadiusMinRho = 0.00216621	Min(rho) = 0.168183
Time = 0.001115	RadiusMinRho = 0.00217541	Min(rho) = 0.168195
Time = 0.00112	RadiusMinRho = 0.0021846	Min(rho) = 0.168203
Time = 0.001125	RadiusMinRho = 0.00219403	Min(rho) = 0.168209
Time = 0.00113	RadiusMinRho = 0.00220341	Min(rho) = 0.168209
Time = 0.001135	RadiusMinRho = 0.00221295	Min(rho) = 0.168207
Time = 0.00114	RadiusMinRho = 0.00222246	Min(rho) = 0.168209
Time = 0.001145	RadiusMinRho = 0.0022321	Min(rho) = 0.168211
Time = 0.00115	RadiusMinRho = 0.00224168	Min(rho) = 0.168222
Time = 0.001155	RadiusMinRho = 0.00225146	Min(rho) = 0.168228
Time = 0.00116	RadiusMinRho = 0.00226119	Min(rho) = 0.168235
